task_dir,instruction,picked_object,related_objects,orientation_mode,relation,reference_frame,direction_attributes,parser_confidence,routing_hints,error
/data/coding/SoFar/datasets/open6dor_v2/open6dor_v2/task_refine_6dof/behind/Place_the_book_behind_the_binder_on_the_table.__lying_flat/20240824-164141_no_interaction,"Place the book behind the binder on the table. We also need to specify the rotation of the object after placement:  the object is lying flat on the table, with its larger face in contact with the tabletop.",book,"[""binder""]",lying_flat,behind,scene-centric,"[""larger_face_in_contact_with_tabletop""]",0.95,"{""minimal_object_set"": [""book"", ""binder""], ""use_task_config"": true, ""fallback_required"": false}",
/data/coding/SoFar/datasets/open6dor_v2/open6dor_v2/task_refine_6dof/behind/Place_the_book_behind_the_bottle_on_the_table.__lying_flat/20240824-185605_no_interaction,"Place the book behind the bottle on the table. We also need to specify the rotation of the object after placement:  the object is lying flat on the table, with its larger face in contact with the tabletop.",book,"[""bottle""]",lying_flat,behind,scene-centric,"[""horizontal""]",0.95,"{""minimal_object_set"": [""book"", ""bottle""], ""use_task_config"": true, ""fallback_required"": false}",
/data/coding/SoFar/datasets/open6dor_v2/open6dor_v2/task_refine_6dof/behind/Place_the_book_behind_the_box_on_the_table.__lying_flat/20240824-220833_no_interaction,"Place the book behind the box on the table. We also need to specify the rotation of the object after placement:  the object is lying flat on the table, with its larger face in contact with the tabletop.",book,"[""box""]",lying_flat,behind,scene-centric,"[""larger_face_in_contact_with_tabletop""]",0.95,"{""minimal_object_set"": [""book"", ""box""], ""use_task_config"": true, ""fallback_required"": false}",
/data/coding/SoFar/datasets/open6dor_v2/open6dor_v2/task_refine_6dof/behind/Place_the_book_behind_the_credit_card_on_the_table.__lying_flat/20240824-195526_no_interaction,"Place the book behind the credit card on the table. We also need to specify the rotation of the object after placement:  the object is lying flat on the table, with its larger face in contact with the tabletop.",book,"[""credit card""]",lying_flat,behind,scene-centric,"[""larger_face_in_contact_with_tabletop""]",0.95,"{""minimal_object_set"": [""book"", ""credit card""], ""use_task_config"": true, ""fallback_required"": false}",
/data/coding/SoFar/datasets/open6dor_v2/open6dor_v2/task_refine_6dof/behind/Place_the_book_behind_the_hammer_on_the_table.__lying_flat/20240824-221011_no_interaction,"Place the book behind the hammer on the table. We also need to specify the rotation of the object after placement:  the object is lying flat on the table, with its larger face in contact with the tabletop.",book,"[""hammer""]",lying_flat,behind,scene-centric,"[""horizontal""]",0.95,"{""minimal_object_set"": [""book"", ""hammer""], ""use_task_config"": true, ""fallback_required"": false}",
/data/coding/SoFar/datasets/open6dor_v2/open6dor_v2/task_refine_6dof/behind/Place_the_book_behind_the_highlighter_on_the_table.__lying_flat/20240824-194743_no_interaction,"Place the book behind the highlighter on the table. We also need to specify the rotation of the object after placement:  the object is lying flat on the table, with its larger face in contact with the tabletop.",book,"[""highlighter""]",lying_flat,behind,scene-centric,"[""larger_face_in_contact_with_tabletop""]",0.95,"{""minimal_object_set"": [""book"", ""highlighter""], ""use_task_config"": true, ""fallback_required"": false}",
/data/coding/SoFar/datasets/open6dor_v2/open6dor_v2/task_refine_6dof/behind/Place_the_book_behind_the_keyboard_on_the_table.__lying_flat/20240824-211639_no_interaction,"Place the book behind the keyboard on the table. We also need to specify the rotation of the object after placement:  the object is lying flat on the table, with its larger face in contact with the tabletop.",book,"[""keyboard""]",lying_flat,behind,scene-centric,"[""horizontal""]",0.95,"{""minimal_object_set"": [""book"", ""keyboard""], ""use_task_config"": true, ""fallback_required"": false}",
/data/coding/SoFar/datasets/open6dor_v2/open6dor_v2/task_refine_6dof/behind/Place_the_book_behind_the_ladle_on_the_table.__lying_flat/20240824-224639_no_interaction,"Place the book behind the ladle on the table. We also need to specify the rotation of the object after placement:  the object is lying flat on the table, with its larger face in contact with the tabletop.",book,"[""ladle""]",lying_flat,behind,mixed,"[""horizontal""]",0.95,"{""minimal_object_set"": [""book"", ""ladle""], ""use_task_config"": true, ""fallback_required"": false}",
/data/coding/SoFar/datasets/open6dor_v2/open6dor_v2/task_refine_6dof/behind/Place_the_book_behind_the_remote_control_on_the_table.__lying_flat/20240824-181326_no_interaction,"Place the book behind the remote control on the table. We also need to specify the rotation of the object after placement:  the object is lying flat on the table, with its larger face in contact with the tabletop.",book,"[""remote control""]",lying_flat,behind,scene-centric,"[""larger_face_in_contact_with_tabletop""]",0.95,"{""minimal_object_set"": [""book"", ""remote control""], ""use_task_config"": true, ""fallback_required"": false}",
/data/coding/SoFar/datasets/open6dor_v2/open6dor_v2/task_refine_6dof/behind/Place_the_book_behind_the_toilet_paper_roll_on_the_table.__lying_flat/20240824-171248_no_interaction,"Place the book behind the toilet paper roll on the table. We also need to specify the rotation of the object after placement:  the object is lying flat on the table, with its larger face in contact with the tabletop.",book,"[""toilet paper roll""]",lying_flat,behind,mixed,"[""larger_face_in_contact_with_tabletop""]",0.95,"{""minimal_object_set"": [""book"", ""toilet paper roll""], ""use_task_config"": true, ""fallback_required"": false}",
/data/coding/SoFar/datasets/open6dor_v2/open6dor_v2/task_refine_6dof/behind/Place_the_bottle_behind_the_USB_on_the_table.__cap_left_bottom_right/20240824-174327_no_interaction,"Place the bottle behind the USB on the table. We also need to specify the rotation of the object after placement:  the bottle is lying sideways on the table, with its cap oriented towards left and the bottom side on the right.",bottle,"[""usb""]",cap_left_bottom_right,behind,scene-centric,"[""side"", ""bottom""]",0.95,"{""minimal_object_set"": [""bottle"", ""usb""], ""use_task_config"": true, ""fallback_required"": false}",
/data/coding/SoFar/datasets/open6dor_v2/open6dor_v2/task_refine_6dof/behind/Place_the_bottle_behind_the_apple_on_the_table.__cap_right_bottom_left/20240824-162905_no_interaction,"Place the bottle behind the apple on the table. We also need to specify the rotation of the object after placement:  the bottle is lying sideways on the table, with its cap oriented towards right and the bottom side on the left.",bottle,"[""apple""]",cap_right_bottom_left,behind,scene-centric,"[""upright""]",0.95,"{""minimal_object_set"": [""bottle"", ""apple""], ""use_task_config"": true, ""fallback_required"": false}",
/data/coding/SoFar/datasets/open6dor_v2/open6dor_v2/task_refine_6dof/behind/Place_the_bottle_behind_the_book_on_the_table.__cap_right_bottom_left/20240824-171015_no_interaction,"Place the bottle behind the book on the table. We also need to specify the rotation of the object after placement:  the bottle is lying sideways on the table, with its cap oriented towards right and the bottom side on the left.",bottle,"[""book""]",cap_right_bottom_left,behind,scene-centric,"[""upright""]",0.95,"{""minimal_object_set"": [""bottle"", ""book""], ""use_task_config"": true, ""fallback_required"": false}",
/data/coding/SoFar/datasets/open6dor_v2/open6dor_v2/task_refine_6dof/behind/Place_the_bottle_behind_the_bottle_on_the_table.__cap_left_bottom_right/20240824-174956_no_interaction,"Place the bottle behind the bottle on the table. We also need to specify the rotation of the object after placement:  the bottle is lying sideways on the table, with its cap oriented towards left and the bottom side on the right.",bottle,[],cap_left_bottom_right,behind,scene-centric,"[""horizontal"", ""left-facing""]",0.95,"{""minimal_object_set"": [""bottle""], ""use_task_config"": true, ""fallback_required"": false}",
/data/coding/SoFar/datasets/open6dor_v2/open6dor_v2/task_refine_6dof/behind/Place_the_bottle_behind_the_bowl_on_the_table.__cap_right_bottom_left/20240824-213659_no_interaction,"Place the bottle behind the bowl on the table. We also need to specify the rotation of the object after placement:  the bottle is lying sideways on the table, with its cap oriented towards right and the bottom side on the left.",bottle,"[""bowl""]",cap_right_bottom_left,behind,scene-centric,"[""cap_right_bottom_left""]",0.95,"{""minimal_object_set"": [""bottle"", ""bowl""], ""use_task_config"": true, ""fallback_required"": false}",
/data/coding/SoFar/datasets/open6dor_v2/open6dor_v2/task_refine_6dof/behind/Place_the_bottle_behind_the_hot_glue_gun_on_the_table.__cap_left_bottom_right/20240824-203511_no_interaction,"Place the bottle behind the hot glue gun on the table. We also need to specify the rotation of the object after placement:  the bottle is lying sideways on the table, with its cap oriented towards left and the bottom side on the right.",bottle,"[""hot glue gun""]",cap_left_bottom_right,behind,scene-centric,"[""upright""]",0.95,"{""minimal_object_set"": [""bottle"", ""hot glue gun""], ""use_task_config"": true, ""fallback_required"": false}",
/data/coding/SoFar/datasets/open6dor_v2/open6dor_v2/task_refine_6dof/behind/Place_the_bottle_behind_the_mixer_on_the_table.__cap_left_bottom_right/20240824-161112_no_interaction,"Place the bottle behind the mixer on the table. We also need to specify the rotation of the object after placement:  the bottle is lying sideways on the table, with its cap oriented towards left and the bottom side on the right.",bottle,"[""mixer""]",cap_left_bottom_right,behind,scene-centric,"[""upright""]",0.95,"{""minimal_object_set"": [""bottle"", ""mixer""], ""use_task_config"": true, ""fallback_required"": false}",
/data/coding/SoFar/datasets/open6dor_v2/open6dor_v2/task_refine_6dof/behind/Place_the_bottle_behind_the_mug_on_the_table.__cap_left_bottom_right/20240824-183257_no_interaction,"Place the bottle behind the mug on the table. We also need to specify the rotation of the object after placement:  the bottle is lying sideways on the table, with its cap oriented towards left and the bottom side on the right.",bottle,"[""mug""]",cap_left_bottom_right,behind,scene-centric,"[""cap_left"", ""bottom_right""]",0.95,"{""minimal_object_set"": [""bottle"", ""mug""], ""use_task_config"": true, ""fallback_required"": false}",
/data/coding/SoFar/datasets/open6dor_v2/open6dor_v2/task_refine_6dof/behind/Place_the_bottle_behind_the_paperweight_on_the_table.__cap_right_bottom_left/20240824-171342_no_interaction,"Place the bottle behind the paperweight on the table. We also need to specify the rotation of the object after placement:  the bottle is lying sideways on the table, with its cap oriented towards right and the bottom side on the left.",bottle,"[""paperweight""]",cap_right_bottom_left,behind,scene-centric,"[""cap_right"", ""bottom_left""]",0.95,"{""minimal_object_set"": [""bottle"", ""paperweight""], ""use_task_config"": true, ""fallback_required"": false}",
/data/coding/SoFar/datasets/open6dor_v2/open6dor_v2/task_refine_6dof/behind/Place_the_bottle_behind_the_remote_control_on_the_table.__cap_left_bottom_right/20240824-202550_no_interaction,"Place the bottle behind the remote control on the table. We also need to specify the rotation of the object after placement:  the bottle is lying sideways on the table, with its cap oriented towards left and the bottom side on the right.",bottle,"[""remote control""]",cap_left_bottom_right,behind,scene-centric,"[""cap_left"", ""bottom_right""]",0.95,"{""minimal_object_set"": [""bottle"", ""remote control""], ""use_task_config"": true, ""fallback_required"": false}",
/data/coding/SoFar/datasets/open6dor_v2/open6dor_v2/task_refine_6dof/behind/Place_the_bottle_behind_the_remote_control_on_the_table.__cap_right_bottom_left/20240824-171751_no_interaction,"Place the bottle behind the remote control on the table. We also need to specify the rotation of the object after placement:  the bottle is lying sideways on the table, with its cap oriented towards right and the bottom side on the left.",bottle,"[""remote control""]",cap_right_bottom_left,behind,scene-centric,"[""cap_right"", ""bottom_left""]",0.95,"{""minimal_object_set"": [""bottle"", ""remote control""], ""use_task_config"": true, ""fallback_required"": false}",
/data/coding/SoFar/datasets/open6dor_v2/open6dor_v2/task_refine_6dof/behind/Place_the_bottle_behind_the_watch_on_the_table.__cap_left_bottom_right/20240824-192604_no_interaction,"Place the bottle behind the watch on the table. We also need to specify the rotation of the object after placement:  the bottle is lying sideways on the table, with its cap oriented towards left and the bottom side on the right.",bottle,"[""watch""]",cap_left_bottom_right,behind,scene-centric,"[""cap_left_bottom_right""]",0.95,"{""minimal_object_set"": [""bottle"", ""watch""], ""use_task_config"": true, ""fallback_required"": false}",
/data/coding/SoFar/datasets/open6dor_v2/open6dor_v2/task_refine_6dof/behind/Place_the_bottle_behind_the_wineglass_on_the_table.__cap_left_bottom_right/20240824-204527_no_interaction,"Place the bottle behind the wineglass on the table. We also need to specify the rotation of the object after placement:  the bottle is lying sideways on the table, with its cap oriented towards left and the bottom side on the right.",bottle,"[""wineglass""]",cap_left_bottom_right,behind,scene-centric,"[""upright""]",0.95,"{""minimal_object_set"": [""bottle"", ""wineglass""], ""use_task_config"": true, ""fallback_required"": false}",
/data/coding/SoFar/datasets/open6dor_v2/open6dor_v2/task_refine_6dof/behind/Place_the_bowl_behind_the_book_on_the_table.__upside_down/20240824-181330_no_interaction,"Place the bowl behind the book on the table. We also need to specify the rotation of the object after placement:  the object is placed upside down on the table, indicating that its top or cap is likely in contact with the table while the bottom side is facing up, in an upside-down position.",bowl,"[""book""]",upside_down,behind,scene-centric,"[""upside_down""]",0.95,"{""minimal_object_set"": [""bowl"", ""book""], ""use_task_config"": true, ""fallback_required"": false}",
/data/coding/SoFar/datasets/open6dor_v2/open6dor_v2/task_refine_6dof/behind/Place_the_bowl_behind_the_box_on_the_table.__upside_down/20240824-173028_no_interaction,"Place the bowl behind the box on the table. We also need to specify the rotation of the object after placement:  the object is placed upside down on the table, indicating that its top or cap is likely in contact with the table while the bottom side is facing up, in an upside-down position.",bowl,"[""box""]",upside_down,behind,scene-centric,"[""upside_down""]",0.95,"{""minimal_object_set"": [""bowl"", ""box""], ""use_task_config"": true, ""fallback_required"": false}",
/data/coding/SoFar/datasets/open6dor_v2/open6dor_v2/task_refine_6dof/behind/Place_the_bowl_behind_the_calculator_on_the_table.__upside_down/20240824-183751_no_interaction,"Place the bowl behind the calculator on the table. We also need to specify the rotation of the object after placement:  the object is placed upside down on the table, indicating that its top or cap is likely in contact with the table while the bottom side is facing up, in an upside-down position.",bowl,"[""calculator""]",upside_down,behind,scene-centric,"[""upside_down""]",0.95,"{""minimal_object_set"": [""bowl"", ""calculator""], ""use_task_config"": true, ""fallback_required"": false}",
/data/coding/SoFar/datasets/open6dor_v2/open6dor_v2/task_refine_6dof/behind/Place_the_bowl_behind_the_calculator_on_the_table.__upside_down/20240824-205800_no_interaction,"Place the bowl behind the calculator on the table. We also need to specify the rotation of the object after placement:  the object is placed upside down on the table, indicating that its top or cap is likely in contact with the table while the bottom side is facing up, in an upside-down position.",bowl,"[""calculator""]",upside_down,behind,mixed,"[""top"", ""bottom""]",0.95,"{""minimal_object_set"": [""bowl"", ""calculator""], ""use_task_config"": true, ""fallback_required"": false}",
/data/coding/SoFar/datasets/open6dor_v2/open6dor_v2/task_refine_6dof/behind/Place_the_bowl_behind_the_paperweight_on_the_table.__upside_down/20240824-163750_no_interaction,"Place the bowl behind the paperweight on the table. We also need to specify the rotation of the object after placement:  the object is placed upside down on the table, indicating that its top or cap is likely in contact with the table while the bottom side is facing up, in an upside-down position.",bowl,"[""paperweight""]",upside_down,behind,mixed,"[""top"", ""bottom""]",0.95,"{""minimal_object_set"": [""bowl"", ""paperweight""], ""use_task_config"": true, ""fallback_required"": false}",
/data/coding/SoFar/datasets/open6dor_v2/open6dor_v2/task_refine_6dof/behind/Place_the_bowl_behind_the_tissue_box_on_the_table.__upside_down/20240824-191018_no_interaction,"Place the bowl behind the tissue box on the table. We also need to specify the rotation of the object after placement:  the object is placed upside down on the table, indicating that its top or cap is likely in contact with the table while the bottom side is facing up, in an upside-down position.",bowl,"[""tissue box""]",upside_down,behind,scene-centric,"[""top"", ""bottom""]",0.95,"{""minimal_object_set"": [""bowl"", ""tissue box""], ""use_task_config"": true, ""fallback_required"": false}",
